amedas_code,name,name_kana,name_en,latitude,longitude,altitude_m,station_type,elems,prec_no,block_no,etrn_name,match_status,candidate_block_nos,station_class,rank_url
21161,大滝,オオタキ,Otaki,42.67,141.078333,390,C,11112110,21,1067,大滝,exact,1067,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=1067&year=&month=&day=&view=
21171,森野,モリノ,Morino,42.63,141.246667,170,C,11112010,21,0126,森野,exact,0126,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0126&year=&month=&day=&view=
21187,苫小牧,トマコマイ,Tomakomai,42.623333,141.546667,6,B,11111111,21,47424,苫小牧,exact,47424,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=21&block_no=47424&year=&month=&day=&view=
21226,大岸,オオキシ,Okishi,42.59,140.643333,4,C,11112110,21,0128,大岸,exact,0128,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0128&year=&month=&day=&view=
21261,白老,シラオイ,Shiraoi,42.543333,141.351667,6,C,11112110,21,0130,白老,exact,0130,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0130&year=&month=&day=&view=
21276,鵡川,ムカワ,Mukawa,42.59,141.933333,10,C,11112010,21,0131,鵡川,exact,0131,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0131&year=&month=&day=&view=
21297,伊達,ダテ,Date,42.475,140.848333,3,C,11112010,21,0132,伊達,exact,0132,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0132&year=&month=&day=&view=
21312,登別,ノボリベツ,Noboribetsu,42.458333,141.118333,197,C,11112110,21,0134,登別,exact,0134,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=21&block_no=0134&year=&month=&day=&view=
21323,室蘭,ムロラン,Muroran,42.311667,140.975,40,A,11111111,21,47423,室蘭,exact,47423,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=21&block_no=47423&year=&month=&day=&view=
22036,日高,ヒダカ,Hidaka,42.876667,142.441667,280,C,11112110,22,1202,日高,exact,1202,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=1202&year=&month=&day=&view=
22141,日高門別,ヒダカモンベツ,Hidaka-Monbetsu,42.496667,142.053333,47,C,11112010,22,0136,日高門別,exact,0136,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=0136&year=&month=&day=&view=
22156,新和,シンワ,Shinwa,42.543333,142.333333,60,C,11112010,22,0137,新和,exact,0137,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=0137&year=&month=&day=&view=
22241,静内,シズナイ,Shizunai,42.343333,142.361667,10,C,11112110,22,0140,静内,exact,0140,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=0140&year=&month=&day=&view=
22291,三石,ミツイシ,Mitsuishi,42.245,142.661667,10,C,11112010,22,1198,三石,exact,1198,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=1198&year=&month=&day=&view=
22306,中杵臼,ナカキネウス,Nakakineusu,42.223333,142.948333,98,C,11112110,22,1288,中杵臼,exact,1288,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=1288&year=&month=&day=&view=
22327,浦河,ウラカワ,Urakawa,42.161667,142.776667,37,B,11111111,22,47426,浦河,exact,47426,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=22&block_no=47426&year=&month=&day=&view=
22391,えりも岬,エリモミサキ,Cape Erimo,41.925,143.243333,63,C,11112010,22,1340,えりも岬,exact,1340,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=22&block_no=1340&year=&month=&day=&view=
23031,長万部,オシャマンベ,Oshamanbe,42.516667,140.373333,6,C,11112110,23,0143,長万部,exact,0143,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0143&year=&month=&day=&view=
23086,八雲,ヤクモ,Yakumo,42.251667,140.271667,8,C,11112110,23,0144,八雲,exact,0144,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0144&year=&month=&day=&view=
23166,森,モリ,Mori,42.066667,140.588333,125,C,11112110,23,0145,森,exact,0145,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0145&year=&month=&day=&view=
23206,川汲,カックミ,Kakkumi,41.906667,140.97,31,C,11112010,23,0147,川汲,exact,0147,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0147&year=&month=&day=&view=
23226,北斗,ホクト,Hokuto,41.886667,140.653333,25,C,11112010,23,0148,北斗,exact,0148,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0148&year=&month=&day=&view=
23232,函館,ハコダテ,Hakodate,41.816667,140.753333,35,A,11111111,23,47430,函館,exact,47430,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=23&block_no=47430&year=&month=&day=&view=
23281,高松,タカマツ：函館空港,Takamatsu,41.77,140.821667,34,C,11110100,23,1462,高松,exact,1462,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=1462&year=&month=&day=&view=
23326,木古内,キコナイ,Kikonai,41.68,140.436667,10,C,11112010,23,0917,木古内,exact,0917,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0917&year=&month=&day=&view=
23376,松前,マツマエ,Matsumae,41.423333,140.086667,30,C,11112010,23,0152,松前,exact,0152,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0152&year=&month=&day=&view=
24041,せたな,セタナ,Setana,42.45,139.851667,10,C,11112010,24,0153,せたな,exact,0153,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=24&block_no=0153&year=&month=&day=&view=
24051,今金,イマカネ,Imakane,42.428333,140.008333,19,C,11112110,24,0154,今金,exact,0154,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=24&block_no=0154&year=&month=&day=&view=
24101,奥尻,オクシリ,Okushiri,42.248333,139.556667,5,C,11112010,24,1199,奥尻,exact,1199,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=24&block_no=1199&year=&month=&day=&view=
24141,熊石,クマイシ,Kumaishi,42.128333,139.985,12,C,11112110,23,0155,熊石,exact,0155,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=23&block_no=0155&year=&month=&day=&view=
24156,米岡,ヨネオカ：奥尻空港,Yoneoka,42.071667,139.431667,49,C,11110000,24,1513,米岡,exact,1513,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=24&block_no=1513&year=&month=&day=&view=
24201,鶉,ウズラ,Uzura,41.93,140.311667,53,C,11112110,24,1200,鶉,exact,1200,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=24&block_no=1200&year=&month=&day=&view=
24217,江差,エサシ,Esashi,41.866667,140.123333,4,B,11111111,24,47428,江差,exact,47428,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=24&block_no=47428&year=&month=&day=&view=
31001,大間,オオマ,Oma,41.526667,140.911667,14,C,11112110,31,1041,大間,exact,1041,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=31&block_no=1041&year=&month=&day=&view=
31111,むつ,ムツ,Mutsu,41.283333,141.21,3,B,11111111,31,47576,むつ,exact,47576,s,https://www.data.jma.go.jp/stats/etrn/view/rank_s.php?prec_no=31&block_no=47576&year=&month=&day=&view=
31121,小田野沢,オダノサワ,Odanosawa,41.235,141.396667,6,C,11112010,31,1122,小田野沢,exact,1122,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=31&block_no=1122&year=&month=&day=&view=
31136,今別,イマベツ,Imabetsu,41.18,140.481667,30,C,11112110,31,1026,今別,exact,1026,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=31&block_no=1026&year=&month=&day=&view=
31156,脇野沢,ワキノサワ,Wakinosawa,41.145,140.821667,15,C,11112110,31,1124,脇野沢,exact,1124,a,https://www.data.jma.go.jp/stats/etrn/view/rank_a.php?prec_no=31&block_no=1124&year=&month=&day=&view=
